crop,country,iso3_code,aver_n_rate_kg_ha,COD,Agri-Footprint Region,Country,IPCC Climate Koppen,DE EF,DE EF Level,IE Volitisation Factor IPCC,IE EF Volatilization and redeposition,IE Leaching Factor IPCC,IE EF Leaching and runoff,EF urea IPCC,EF transport (global) (kgN/ kgCO2),EF production (global) (kgN/ kgCO2),ISO3,direct_emissions,indirect_emissions_VR,indirect_emissions_LR,indirect_emissions_total,production_emissions,transport_emissions,urea emissions,total_emissions
Oil palm,Myanmar,MMR,7.44638010166313,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,155.0442714024859,43.41239599269605,34.1097397085469,77.52213570124295,27.774997779203474,2.062647288160687,5.4606787412196285,267.8647309123126
Other cereals,Myanmar,MMR,9.30797295891836,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,193.80529410890728,54.26548235049403,42.6371647039596,96.90264705445364,34.71873913676548,2.5783085096203857,6.825846836540131,334.8308356462869
Other oil crops,Myanmar,MMR,6.88789922916384,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,143.41590180723284,40.156452506025175,31.551498397591214,71.70795090361639,25.691864124781123,1.9079480864783838,5.051126101386816,247.77479102349554
Pulses,Myanmar,MMR,2.23391333424152,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,46.51326692367165,13.02371473862806,10.232918723207762,23.256633461835822,8.33249673672087,0.6187939935849011,1.6382031117771148,80.35939422759036
Rapeseed,Myanmar,MMR,7.44637757336838,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,155.04421875977738,43.41238125273766,34.10972812715101,77.52210937988866,27.77498834866406,2.0626465878230413,5.460676887136813,267.86463996328996
Residual,Myanmar,MMR,13.9619602888087,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,290.7079588705526,81.39822848375474,63.955750951521566,145.3539794352763,52.078111877256454,3.8674630000000105,10.238770878459714,502.24628406154505
Rice,Myanmar,MMR,18.6159464890757,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,387.61060011182616,108.53096803131133,85.27433202460176,193.8053000559131,69.43748040425236,5.1566171774739695,13.651694091988846,669.6616918414544
Roots/tubers,Myanmar,MMR,18.6159449961803,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,387.61056902761123,108.53095932773115,85.27432518607448,193.80528451380565,69.43747483575252,5.156616763941943,13.651692997198886,669.6616381383103
Soybeans,Myanmar,MMR,9.30797445999185,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,193.80532536340175,54.26549110175249,42.63717157994838,96.90266268170086,34.718744735769604,2.5783089254177427,6.8258479373273575,334.83088964361735
Sugar cane,Myanmar,MMR,18.6159434298214,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,387.6105364137813,108.53095019585876,85.27431801103188,193.80526820689064,69.43746899323382,5.156616330060528,13.651691848535693,669.6615817925019
Tea,Myanmar,MMR,1.11695627860738,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,23.256625372432236,6.511855104281026,5.11645758193509,11.628312686216116,4.166246919205527,0.30939688917424424,0.8191012709787454,40.17968313800687
Vegetables,Myanmar,MMR,14.4875458852724,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,301.6514018254932,84.46239251113809,66.36330840160849,150.82570091274658,54.038546152066054,4.013050210220455,10.624200315866428,521.1528994163928
Wheat,Myanmar,MMR,13.9619589455356,141,East Asia,Myanmar,wet,0.05,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,MMR,290.70793090168763,81.39822065247255,63.95574479837128,145.35396545084382,52.07810686684778,3.8674626279133615,10.238769893392773,502.2462357406854
Fruit primary and citrus fruits and treenuts,Netherlands,NLD,58.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,96.61142857142858,338.14,265.6814285714285,603.8214285714284,216.34,16.066000000000003,42.53333333333334,975.3721904761904
Grassland,Netherlands,NLD,144.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,239.86285714285714,839.5200000000001,659.6228571428571,1499.1428571428573,537.12,39.888000000000005,105.60000000000001,2421.613714285714
Maize,Netherlands,NLD,35.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,58.3,204.04999999999998,160.32499999999996,364.37499999999994,130.55,9.695,25.666666666666668,588.5866666666666
Maize green,Netherlands,NLD,49.6724890829694,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,82.74017467248905,289.5906113537116,227.5354803493448,517.1260917030564,185.27838427947586,13.759279475982524,36.42649199417756,835.3304221251815
Other cereals,Netherlands,NLD,56.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,93.28,326.48,256.52,583.0,208.88,15.512,41.06666666666667,941.7386666666667
Other oil crops,Netherlands,NLD,40.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,66.62857142857143,233.2,183.22857142857143,416.42857142857144,149.2,11.080000000000002,29.333333333333332,672.6704761904763
Pulses,Netherlands,NLD,29.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,48.30571428571429,169.07,132.84071428571426,301.9107142857142,108.17,8.033000000000001,21.26666666666667,487.6860952380952
Rapeseed,Netherlands,NLD,175.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,291.5,1020.2500000000001,801.6249999999999,1821.875,652.75,48.475,128.33333333333334,2942.9333333333334
Residual,Netherlands,NLD,18.75,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,31.232142857142858,109.31250000000001,85.88839285714285,195.20089285714286,69.9375,5.1937500000000005,13.75,315.31428571428575
Roots/tubers,Netherlands,NLD,145.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,241.5285714285714,845.3500000000001,664.2035714285714,1509.5535714285716,540.85,40.165000000000006,106.33333333333333,2438.4304761904764
Sugar beet,Netherlands,NLD,130.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,216.54285714285717,757.9,595.492857142857,1353.3928571428569,484.9,36.010000000000005,95.33333333333333,2186.1790476190477
Vegetables,Netherlands,NLD,150.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,249.85714285714286,874.5000000000001,687.1071428571428,1561.607142857143,559.5,41.550000000000004,110.0,2522.514285714286
Wheat,Netherlands,NLD,159.0,145,Europe,Netherlands,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NLD,264.84857142857146,926.97,728.3335714285714,1655.3035714285716,593.07,44.043000000000006,116.60000000000001,2673.865142857143
Fruit primary and citrus fruits and treenuts,New Zealand,NZL,41.475812758351,148,Oceania,New_Zealand,wet,0.002,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NZL,34.54342691159805,241.80398838118631,189.98884801378927,431.79283639497555,154.7047815886492,11.488800134063228,30.415596022790737,662.9454410520767
Grassland,New Zealand,NZL,33.216672825218,148,Oceania,New_Zealand,wet,0.002,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NZL,27.664743224431565,193.65320257102093,152.15608773437359,345.8092903053945,123.89818963806313,9.201018372585386,24.358893405159865,530.9321349456344
Other cereals,New Zealand,NZL,221.17152257233,148,Oceania,New_Zealand,wet,0.002,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NZL,184.20428237095481,1289.429976596684,1013.1235530402515,2302.5535296369353,824.9697791947908,61.26451175253541,162.19244988637536,3535.1845528415915
Residual,New Zealand,NZL,1.30983669208056,148,Oceania,New_Zealand,wet,0.002,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NZL,1.0909068449756665,7.636347914829666,5.999987647366165,13.636335562195832,4.885690861460489,0.36282476370631517,0.9605469075257441,20.936304939864044
Vegetables,New Zealand,NZL,132.718302692418,148,Oceania,New_Zealand,wet,0.002,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NZL,110.53538638525673,773.7477046967969,607.9446251189119,1381.6923298157087,495.0392690427192,36.76296984579979,97.32675530777321,2121.3567103972578
Cottonseed,Nigeria,NGA,14.2841726618705,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,17.845012846865362,83.27672661870503,65.43171377183965,148.7084403905447,53.279964028776966,3.9567158273381287,10.475059952038366,234.2651930455635
Maize,Nigeria,NGA,9.18151316893139,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,11.470333237472143,53.52822177487001,42.057888537397865,95.58611031226788,34.24704412011408,2.5432791477939953,6.733109657216353,150.57987647486445
Other cereals,Nigeria,NGA,14.3649879453523,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,17.945974226015124,83.7478797214039,65.80190549538878,149.54978521679269,53.58140503616408,3.9791016608625878,10.534324493258355,235.59059063309286
Residual,Nigeria,NGA,3.2310459520302,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,4.036499550072015,18.836997900336065,14.800498350264052,33.637496250600115,12.051801401072646,0.8949997287123654,2.3694336981554804,52.99023062861262
Rice,Nigeria,NGA,8.38009746088741,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,10.469136042208628,48.855968196973606,38.38683215476497,87.24280035173857,31.257763529110036,2.3212869966658127,6.145404804650767,137.43639172437383
Roots/tubers,Nigeria,NGA,3.49327899762788,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,4.3641035477508305,20.36581655617054,16.00171300841971,36.36752956459025,13.029930661151992,0.9676382823429228,2.5617379315937785,57.29093998742977
Soybeans,Nigeria,NGA,11.6232142857143,151,Africa,Nigeria,wet,0.003,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NGA,14.520715561224506,67.76333928571438,53.24262372448985,121.00596301020423,43.35458928571433,3.219630357142861,8.523690476190486,190.6245886904764
Grassland,Norway,NOR,104.062208398134,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,173.33790713174892,606.6826749611212,476.67924461230956,1083.3619195734307,388.1520373250398,28.82523172628312,76.31228615863161,1749.9893819151341
Other cereals,Norway,NOR,100.0,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,166.57142857142858,583.0,458.0714285714285,1041.0714285714284,373.0,27.700000000000003,73.33333333333333,1681.6761904761904
Rapeseed,Norway,NOR,100.0,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,166.57142857142858,583.0,458.0714285714285,1041.0714285714284,373.0,27.700000000000003,73.33333333333333,1681.6761904761904
Residual,Norway,NOR,65.8064516129032,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,109.61474654377878,383.6516129032256,301.4405529953916,685.0921658986172,245.45806451612896,18.22838709677419,48.25806451612902,1106.6514285714281
Roots/tubers,Norway,NOR,100.0,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,166.57142857142858,583.0,458.0714285714285,1041.0714285714284,373.0,27.700000000000003,73.33333333333333,1681.6761904761904
Vegetables,Norway,NOR,120.0,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,199.88571428571427,699.6,549.6857142857142,1249.2857142857142,447.6,33.24,88.0,2018.0114285714287
Wheat,Norway,NOR,120.0,156,Europe,Norway,wet,0.004,Country,0.11,0.014,0.24,0.011,0.2,0.277,3.73,NOR,199.88571428571427,699.6,549.6857142857142,1249.2857142857142,447.6,33.24,88.0,2018.0114285714287
Cottonseed,Pakistan,PAK,198.310155920775,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,578.0741045090591,412.910074649328,908.4021642285214,1321.3122388778495,739.6968815844907,54.93191319005468,145.42744767523502,2839.442585836689
Fruit primary and citrus fruits and treenuts,Pakistan,PAK,110.951122195893,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,323.42252120102813,231.01608657216295,508.2353904587585,739.2514770309215,413.8476857906809,30.733460848262364,81.36415627698821,1588.619301147881
Maize,Pakistan,PAK,222.237151494793,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,647.8212966073215,462.72949757665833,1018.0048946686483,1480.7343922453065,828.944575075578,61.55969096405767,162.97391109618158,3182.033865988445
Maize green,Pakistan,PAK,180.079018506966,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,524.9303389478059,374.9502421055757,824.8905326322664,1199.8407747378421,671.6947390309832,49.88188812642959,132.05794690510842,2578.4056877481694
Other cereals,Pakistan,PAK,119.887780548628,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,349.4728802992507,249.62348592803616,549.1716690416795,798.7951549697157,447.18142144638244,33.20891521196996,87.91770573566053,1716.5760776629793
Other oil crops,Pakistan,PAK,71.0228170277836,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,207.0315116359892,147.87965116856373,325.33523257084016,473.2148837394039,264.91510751363285,19.67332031669606,52.08339915370797,1016.91822235943
Pulses,Pakistan,PAK,63.7825432656132,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,185.92611361926248,132.80436687090176,292.1696071159839,424.97397398688565,237.90888638073724,17.667764484574857,46.773865061449676,913.25060353291
Rapeseed,Pakistan,PAK,69.6700405401777,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,203.08816817461798,145.06297726758424,319.1385499886854,464.2015272562696,259.8692512148628,19.298601229629224,51.09136306279698,997.5489109381765
Residual,Pakistan,PAK,87.2474747474748,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,254.32638888888908,181.66170634920644,399.65575396825415,581.3174603174606,325.433080808081,24.16755050505052,63.98148148148152,1249.2259620009627
Rice,Pakistan,PAK,120.551601423488,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,351.40791814946743,251.00565582104824,552.2124428063062,803.2180986273544,449.6574733096102,33.39279359430618,88.40450771055787,1726.080791391296
Roots/tubers,Pakistan,PAK,254.785539309696,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,742.6998470877638,530.4998907769742,1167.099759709343,1697.5996504863174,950.3500616251661,70.5755943887858,186.8427288271104,3648.0678824151432
Soybeans,Pakistan,PAK,50.0,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,145.75,104.10714285714286,229.03571428571425,333.1428571428571,186.5,13.850000000000001,36.666666666666664,715.9095238095238
Sugar beet,Pakistan,PAK,180.0,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,524.7,374.78571428571433,824.5285714285715,1199.3142857142857,671.4,49.86000000000001,132.0,2577.2742857142857
Sugar cane,Pakistan,PAK,238.411978221416,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,694.9709165154276,496.4077975110198,1092.0971545242435,1588.5049520352632,889.2766787658817,66.04011796733224,174.83545069570508,3413.62811597961
Vegetables,Pakistan,PAK,128.860518168967,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,375.6284104625388,268.306007473242,590.2732164411324,858.5792239143743,480.6497327702469,35.69436353280386,94.49771332390912,1845.0494440038728
Wheat,Pakistan,PAK,154.25213182761,158,South Asia,Pakistan,dry,0.007,Regional,0.11,0.005,0.0,0.011,0.2,0.277,3.73,PAK,449.64496427748315,321.1749744839165,706.5849438646162,1027.7599183485327,575.3604517169853,42.72784051624797,113.11823000691398,2208.611404866163
Cottonseed,Paraguay,PRY,25.0,163,Latin America,Paraguay,wet,0.024,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,PRY,249.85714285714286,145.75,114.51785714285712,260.2678571428571,93.25,6.925000000000001,18.333333333333332,628.6333333333333
Fruit primary and citrus fruits and treenuts,Paraguay,PRY,25.0,163,Latin America,Paraguay,wet,0.024,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,PRY,249.85714285714286,145.75,114.51785714285712,260.2678571428571,93.25,6.925000000000001,18.333333333333332,628.6333333333333
Grassland,Paraguay,PRY,23.3253755659875,163,Latin America,Paraguay,wet,0.024,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,PRY,233.12046779949793,135.98693954970713,106.84688107476987,242.833820624477,87.00365086113338,6.461129031778538,17.105275415057502,586.5243437319443
Maize,Paraguay,PRY,35.0,163,Latin America,Paraguay,wet,0.024,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,PRY,349.8,204.04999999999998,160.32499999999996,364.37499999999994,130.55,9.695,25.666666666666668,880.0866666666666
Maize green,Paraguay,PRY,25.0,163,Latin America,Paraguay,wet,0.024,Regional,0.11,0.014,0.24,0.011,0.2,0.277,3.73,PRY,249.85714285714286,145.75,114.51785714285712,260.2678571428571,93.25,6.925000000000001,18.333333333333332,628.6333333333333
